Ticker;Nome da Empresa;Setor;Subsetor;Nota dos Usuários;Segmento de Listagem;Tag Along;Free Float;Vol Histórica;Tickers Opções;LIQUIDEZ MEDIA DIARIA;P/L;lpa_pos_years;lpa_last_negative_year;lpa_trend;P/ATIVOS;P/VP;vpa_trend;MARGEM BRUTA;margembruta_pos_years;margembruta_last_negative_year;margembruta_trend;MARGEM EBIT;MARG. LIQUIDA;margemliquida_pos_years;margemliquida_last_negative_year;margemliquida_trend;EV/EBIT;LIQ. CORRENTE;liquidezcorrente_trend;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_trend;DIV. LIQ. / PATRI.;dividaliquida_patrimonioliquido_trend;PASSIVOS / ATIVOS;passivo_ativo_trend;P. AT CIR. LIQ.;Div Br/ Patrim;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq
QUAL3;Qualicorp;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;2.2;Novo Mercado;100% ON;38,08% ON;56.942799019888;122.0;17553853.04;-15.17;0.7692307692307693;2024.0;-0.0059471485159242;0.13;0.46;-0.0784561129981409;77.16;1.0;;0.0054565452995447;5.27;-2.24;0.6666666666666666;2024.0;0.0554141203110136;20.23;1.16;-0.0074907365446639;13.78;-0.5086613116898746;0.98;0.0883701593279617;0.71;0.0449859418931528;-0.2;1.76;2331090000.0;1032560000.0;1298530000.0;1624020000.0;1326160000.0
LJQQ3;Lojas Quero-Quero;Comércio;Produtos Diversos;2.9;Novo Mercado;100% ON;53,59% ON;62.797736663675;26.0;15509484.33;-24.71;0.4;2024.0;0.5803287746927139;0.3;1.81;0.0021951662729422;34.11;1.0;;-0.0262209454165553;2.77;-1.56;0.625;2024.0;0.6545961002783729;13.75;1.86;0.0455539358600622;-0.26;0.2685171217377935;-0.03;0.4141363862618865;0.83;-0.007311010381633;-0.89;0.73;368781000.0;385933000.0;-17152000.0;2033430000.0;503826000.0
BRSR6;Banrisul;Intermediários Financeiros;Bancos;3.3;Nível 1;100% ON - 100% PN;1,87% ON - 99,46% PN - 50,53% Total;26.111497425812;48.0;19253446.25;6.48;1.0;;0.0123198762177276;0.05;0.63;0.0440282347090721;33.16;1.0;;-0.0285753773060856;7.22;6.38;1.0;;-0.0676265648943189;5.67;4.22;0.1807285284616169;;;;;0.92;0.0033891342302561;-0.05;;;;;;9478730000.0
TTEN3;3tentos;Agropecuária;Agricultura;4.2;Novo Mercado;100% ON;22,89% ON;39.337273734264;12.0;16039484.38;8.43;1.0;;0.0956259586396452;0.8;1.66;0.093391839183923;14.89;1.0;;-0.0051227008830553;6.79;7.71;1.0;;0.0353672755538303;9.83;1.52;0.0525867575047906;0.21;1.783068783068725;0.04;1.20788530465959;0.52;-0.089406461307265;-2.24;0.4;1262420000.0;1146090000.0;116334000.0;4266610000.0;3172940000.0
VVEO3;Viveo;Comércio e Distribuição;Medicamentos e Outros Produtos;2.9;Novo Mercado;100% ON;37,50% ON;37.11882914991;0.0;10651281.63;18.55;1.0;;-0.8318765364654503;0.3;0.96;0.0828826385855059;15.9;1.0;;0.0068518518518529;6.01;1.5;1.0;;-0.4779507133592811;7.07;2.04;0.055871212121209;2.5;0.225517241379302;0.52;0.2297734627831666;0.69;-0.0144092219020195;-0.75;1.06;3318090000.0;1694310000.0;1623770000.0;5958880000.0;3129440000.0
ODPV3;Odontoprev;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;4.5;Novo Mercado;100% ON;41,80% ON;36.076263051508;20.0;24803537.83;14.09;1.0;;0.0404693404768723;3.33;4.72;0.0133428918069922;40.91;1.0;;-0.0010584964345526;28.94;23.34;1.0;;0.0047716729043691;10.76;0.92;-0.0557309148039695;-0.57;-4.359036144579538;-0.24;-0.0166526845637624;0.29;0.0122580645161325;-4.27;;0.0;348442000.0;-348442000.0;454731000.0;1467850000.0
ORVR3;Orizon;Água e Saneamento;Água e Saneamento;2.4;Novo Mercado;100% ON;38,33% ON;33.254912037238;0.0;13991302.96;-23.17;0.0;2024.0;0.0781540906233888;1.29;4.67;0.089732320010434;30.63;1.0;;0.012098546614677;17.55;-16.46;0.5;2024.0;0.1691813804173294;28.82;2.22;0.1338837042355012;7.11;0.7556372814848125;1.53;-0.7247191011234936;0.7;-0.1422602467170853;-1.77;1.85;1144660000.0;200797000.0;943861000.0;606045000.0;617519000.0
AMBP3;Ambipar;Água e Saneamento;Água e Saneamento;3.4;Novo Mercado;100% ON;33,34% ON;48.246380201168;46.0;12711230.04;-18.16;0.6;2024.0;0.598950731183501;0.22;2.33;-0.2459462035706193;23.51;1.0;;0.0293379191745475;18.46;-2.69;0.75;2024.0;1.2607816711592807;7.84;2.3;0.0548257892243424;5.19;0.0885260188519179;4.56;0.1478678038379559;0.84;0.0651750972762725;-0.38;7.15;7076860000.0;2561390000.0;4515470000.0;4446470000.0;989635000.0
BPAN4;Banco Pan;Intermediários Financeiros;Bancos;3.1;Nível 1;100% PN;53,27% PN - 25,76% Total;39.561168532129;56.0;14938979.83;17.03;0.7857142857142857;2016.0;0.1029103370851152;0.2;1.44;-0.0224829974745414;49.84;1.0;;0.0336549347574712;4.88;4.32;0.7333333333333333;2016.0;0.1812595681718207;14.97;;2.999999999998934;;;;;0.86;-0.0075308078502976;-0.2;;;;;;8005560000.0
IFCM3;Infracommerce;Programas e Serviços;Programas e Serviços;1.6;Novo Mercado;100% ON;68,35% ON;94.138809084906;14.0;12091364.33;-3.73;0.0;2024.0;0.0847650589939883;0.3;0.7;-0.6396167737342247;43.4;1.0;;0.0119802677942213;-3.27;-24.04;0.0;2024.0;0.1675844982734591;-43.71;0.97;-0.0225621414913916;-15.93;0.2436691610089734;0.41;0.0753768844221129;0.57;-0.0990990990991077;-0.41;0.56;765040000.0;209631000.0;555409000.0;867463000.0;1366400000.0
