TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
VALE3;68.36;8.89;6.53;1.63;0.7;40.12;31.07;23.03;4.84;5.62;0.78;0.26;1.5;60.23;-0.83;1.08;24.99;10.66;21.26;0.43;0.56;0.46;15.85;21.94;1695388898.44;41.9;10.47;-0.12;310286558168.8
PETR4;39.28;18.63;3.74;1.33;0.5;51.08;38.69;25.53;2.47;3.68;1.15;0.62;0.96;-70.58;-0.58;0.95;35.47;13.35;21.54;0.38;0.62;0.52;17.72;;1290633405.36;29.59;10.5;-0.17;525635407783.16
ITUB4;32.33;3.89;9.96;1.73;0.13;30.03;9.92;8.3;8.33;7.73;;;0.83;;-0.13;;17.34;1.27;;0.07;0.92;0.15;13.63;6.54;761527956.64;18.73;3.25;0.85;294010811438.67
BBDC4;15.36;7.25;11.81;0.98;0.09;30.94;3.95;6.18;18.49;17.49;;;0.73;0.71;-0.1;11.4;8.33;0.73;;0.09;0.91;0.12;8.37;-4.12;625875942.11;15.62;1.3;-0.28;154615428931.62
BBAS3;56.58;8.09;4.87;0.98;0.07;32.66;15.94;12.4;3.79;3.79;;;0.6;2.83;-0.07;14.76;20.1;1.5;;0.07;0.92;0.12;9.97;25.65;465395492.08;57.82;11.62;0.22;162125294991.6
PRIO3;44.8;0.16;8.77;3.1;1.4;62.28;55.18;44.93;7.14;8.62;1.48;0.64;3.94;32.52;-1.71;1.32;35.33;15.98;22.46;0.45;0.55;0.36;64.15;145.76;464041758.86;14.46;5.11;0.29;39964285043.2
B3SA3;13.43;3.12;17.97;3.75;1.58;85.66;51.52;40.19;14.02;13.4;-0.62;-0.17;7.22;13.9;-2.47;1.46;20.86;8.82;12.22;0.42;0.58;0.22;22.44;26.63;453567494.53;3.58;0.75;-8.28;75832495000.0
PETR3;41.06;17.82;3.91;1.39;0.52;51.08;38.69;25.53;2.58;3.68;1.15;0.62;1.0;-73.78;-0.61;0.95;35.47;13.35;21.54;0.38;0.62;0.52;17.72;;357616538.67;29.59;10.5;-0.17;525635407783.16
RENT3;58.36;1.93;40.34;2.47;0.84;29.04;19.78;5.75;11.72;17.03;5.31;1.12;2.32;239.5;-1.06;1.02;6.13;2.09;8.55;0.34;0.66;0.36;24.03;25.03;354759587.58;23.59;1.45;-2.51;62334042816.84
MGLU3;2.07;;-35.13;1.47;0.38;28.51;2.49;-1.06;15.03;19.46;4.43;0.43;0.37;5.95;-0.8;1.14;-4.17;-1.08;1.31;0.26;0.74;1.01;25.49;;326991947.08;1.41;-0.06;-40.14;13970278575.36
