Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
PCAR3;ON;PÃO DE AÇÚCAR ON;Comércio e Distribuição;Alimentos;3.9;3.25;9.4;39491100.0;270139000.0;1053540000.0;3364540000.0;-0.34;-11.36;0.21;18.57;-3.78;-5.9%;1.55;-41.2%;0.05;-426.8%;0.55;-1.2%;-0.11;0.0%;-1.7%;-61.2%;14.95;1.32;-12.06;1.21;-60.5%;0.03;22685000000.0;6051000000.0;3740000000.0;2311000000.0;7936000000.0;5016000000.0;678001000.0;-279000000.0;-3070000000.0;4742000000.0;291000000.0;-1295000000.0;;;;;;
GMAT3;ON NM;GRUPO MATEUS ON NM;Comércio e Distribuição;Alimentos;7.24;5.11;8.28;34674200.0;2209350000.0;15995700000.0;18532000000.0;13.99;0.52;1.93;3.75;12.55;21.6%;0.63;5.0%;1.06;4.6%;2.62;8.5%;6.07;0.0%;11.0%;13.8%;11.21;2.9;14.54;0.44;29.5%;1.68;15056300000.0;3653130000.0;1116810000.0;2536320000.0;9306640000.0;8287380000.0;25296900000.0;1274940000.0;1143250000.0;6934930000.0;377257000.0;309403000.0;;;;;;
DIRR3;ON NM;Direcional Engenharia ON NM;Construção Civil;Incorporações;22.0;14.32;22.47;34604400.0;173500000.0;3817000000.0;3792700000.0;13.16;1.67;1.97;11.15;9.79;33.6%;1.69;17.3%;0.53;15.3%;1.58;5.4%;-2.2;2.1%;6.8%;15.0%;8.43;3.56;9.73;0.68;13.0%;0.31;7189700000.0;1316860000.0;1341160000.0;-24298000.0;3359250000.0;1934470000.0;2254330000.0;389948000.0;290009000.0;557668000.0;99171000.0;68763000.0;;;;;;
GGPS3;ON NM;GPS ON NM;Serviços Diversos;Serviços Diversos;18.43;11.46;19.62;31939400.0;672170000.0;12388100000.0;12896300000.0;20.85;0.88;4.2;4.39;11.68;17.4%;1.21;10.3%;1.28;5.8%;3.81;11.0%;-10.11;1.4%;15.3%;20.2%;10.19;2.45;12.16;1.05;18.4%;1.06;9669140000.0;3106240000.0;2598070000.0;508170000.0;5488910000.0;2948660000.0;10252000000.0;1060380000.0;594201000.0;2628720000.0;277847000.0;141828000.0;;;;;;
AESB3;ON NM;AES BRASIL ON NM;Energia Elétrica;Energia Elétrica;10.31;9.74;12.69;30521600.0;601927000.0;6205870000.0;15432000000.0;39.33;0.26;1.39;7.43;6.66;35.5%;1.93;28.9%;0.31;11.1%;19.0;4.7%;-0.57;0.0%;5.5%;3.5%;9.44;1.11;16.56;2.62;62.2%;0.16;19825600000.0;11697000000.0;2470840000.0;9226130000.0;3337520000.0;4469480000.0;3218670000.0;931648000.0;157794000.0;908642000.0;260016000.0;53328000.0;;;;;;
CURY3;ON NM;CURY S/A ON NM;Construção Civil;Incorporações;18.16;10.49;19.15;30050500.0;291875000.0;5300450000.0;4837100000.0;12.83;1.42;5.74;3.16;9.14;37.8%;2.0;21.8%;1.68;16.1%;4.0;18.4%;23.9;5.1%;30.6%;44.8%;8.07;2.34;8.34;0.7;29.1%;0.84;3150610000.0;645719000.0;1109070000.0;-463356000.0;2316220000.0;923179000.0;2655050000.0;579664000.0;413227000.0;751874000.0;148663000.0;108220000.0;;;;;;
EZTC3;ON NM;EZTec ON NM;Construção Civil;Incorporações;15.02;11.78;24.77;28704600.0;220989000.0;3319260000.0;3337770000.0;17.64;0.85;0.72;20.81;58.75;29.2%;3.14;5.3%;0.57;18.4%;1.58;1.0%;2.31;1.4%;1.1%;4.1%;42.4;5.19;59.08;0.18;10.6%;0.18;5838680000.0;806467000.0;787954000.0;18513000.0;2609600000.0;4598390000.0;1056140000.0;56498000.0;188179000.0;251727000.0;17753000.0;39111000.0;;;;;;
CSMG3;ON;COPASA MG ON;Água e Saneamento;Água e Saneamento;21.92;12.33;22.65;27455500.0;380253000.0;8335150000.0;11680800000.0;6.45;3.4;1.06;20.75;4.98;40.2%;1.19;23.9%;0.59;18.5%;8.33;11.9%;-2.44;13.2%;13.5%;16.4%;4.77;1.58;6.98;0.58;8.5%;0.5;14016300000.0;4596550000.0;1250850000.0;3345700000.0;2715480000.0;7891110000.0;6997180000.0;1673580000.0;1292380000.0;1877580000.0;474626000.0;437114000.0;;;;;;
ODPV3;ON NM;ODONTOPREV ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;13.0;9.79;13.26;25623500.0;552496000.0;7182450000.0;6834010000.0;14.61;0.89;4.89;2.66;10.72;40.9%;3.41;31.8%;3.45;23.4%;-178.07;32.2%;-46.09;2.9%;39.3%;33.5%;9.56;0.92;10.2;;3.9%;1.01;2079090000.0;0.0;348442000.0;-348442000.0;454731000.0;1467850000.0;2106740000.0;669757000.0;491768000.0;551960000.0;153685000.0;134231000.0;;;;;;
ANIM3;ON NM;ANIMA ON NM;Diversos;Serviços Educacionais;4.31;2.02;4.98;25577800.0;403869000.0;1740680000.0;5741360000.0;-18.66;-0.23;0.68;6.32;2.82;58.0%;0.47;16.8%;0.18;1.6%;9.96;6.2%;-0.35;0.0%;7.1%;-3.7%;4.93;1.1;9.32;1.98;38.6%;0.37;9921430000.0;5047250000.0;1046570000.0;4000680000.0;1906970000.0;2551290000.0;3672400000.0;616177000.0;-93304000.0;940408000.0;163255000.0;-30235000.0;;;;;;
SAPR11;UNT N2;SANEPAR UNT N2;Água e Saneamento;Água e Saneamento;26.3;16.01;29.39;25266200.0;1511210000.0;7948940000.0;12441400000.0;5.29;4.97;0.82;32.24;2.93;60.0%;1.26;43.2%;0.42;23.9%;9.85;14.4%;-1.27;5.8%;15.8%;15.4%;3.89;1.41;4.58;0.59;7.7%;0.33;18803900000.0;5777660000.0;1285160000.0;4492500000.0;2776730000.0;9744200000.0;6292740000.0;2715830000.0;1503360000.0;1696970000.0;684032000.0;364821000.0;;;;;;
SBFG3;ON;GRUPO SBF ON;Comércio;Produtos Diversos;11.81;6.35;14.4;25151000.0;243689000.0;2877970000.0;5839090000.0;15.76;0.75;1.17;10.1;6.15;47.9%;0.42;6.8%;0.35;2.7%;1.63;5.7%;-1.89;1.1%;6.4%;7.4%;6.59;1.71;12.49;1.27;35.7%;0.83;8232830000.0;3124010000.0;162883000.0;2961130000.0;4247670000.0;2461640000.0;6841620000.0;467603000.0;182599000.0;1793260000.0;157575000.0;74064000.0;;;;;;
ONCO3;ON NM;ONCOCLINICAS ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;10.1;6.27;13.0;24883400.0;527482000.0;5327560000.0;8341350000.0;24.29;0.42;2.41;4.2;6.91;35.9%;1.01;14.6%;0.62;6.1%;6.11;8.9%;-1.63;0.0%;10.7%;9.9%;8.3;1.48;10.83;1.63;44.8%;0.61;8609700000.0;3615450000.0;601667000.0;3013790000.0;2688720000.0;2215000000.0;5271060000.0;770500000.0;219293000.0;1401550000.0;187036000.0;104989000.0;;;;;;
SIMH3;ON NM;SIMPAR ON NM;Holdings Diversificadas;Holdings Diversificadas;7.26;6.82;10.97;24001700.0;873041000.0;6338280000.0;39489900000.0;122.05;0.06;1.81;4.01;1.11;28.1%;0.21;18.5%;0.1;1.2%;0.76;9.1%;-0.17;0.3%;11.2%;1.5%;4.75;1.75;6.94;11.75;57.4%;0.49;62697600000.0;41114700000.0;7963020000.0;33151600000.0;19524900000.0;3498440000.0;30747400000.0;5688090000.0;51932000.0;8318110000.0;1431630000.0;-136515000.0;;;;;;
INTB3;ON NM;INTELBRAS ON NM;Computadores e Equipamentos;Computadores e Equipamentos;19.85;16.8;29.04;23858800.0;327611000.0;6503080000.0;6237320000.0;12.48;1.59;2.63;7.53;13.38;31.5%;1.56;11.7%;1.38;12.6%;3.03;10.3%;5.43;1.6%;17.9%;21.1%;11.01;2.68;12.84;0.38;20.8%;0.88;4720400000.0;936160000.0;1201920000.0;-265756000.0;3431020000.0;2468360000.0;4159090000.0;485890000.0;520940000.0;933653000.0;110550000.0;110526000.0;;;;;;
ECOR3;ON NM;ECORODOVIAS ON NM;Transporte;Exploração de Rodovias;8.76;3.89;9.77;23837000.0;696334000.0;6099890000.0;19008100000.0;10.88;0.8;2.21;3.96;2.26;37.3%;0.75;33.3%;0.26;7.2%;-6.31;11.4%;-0.37;1.0%;13.4%;20.3%;5.54;0.81;7.05;5.85;20.3%;0.34;23706100000.0;16128200000.0;3220070000.0;12908200000.0;4013620000.0;2755580000.0;8095060000.0;2697560000.0;560443000.0;2568940000.0;812784000.0;219030000.0;;;;;;
MDIA3;ON NM;M.DIASBRANCO ON NM;Alimentos Processados;Alimentos Diversos;38.43;23.77;44.23;23260000.0;339000000.0;13027800000.0;13345300000.0;23.17;1.66;1.79;21.52;14.95;30.2%;1.2;8.0%;1.09;5.2%;4.48;7.3%;17.81;1.6%;9.8%;7.7%;10.91;2.19;15.31;0.3;15.7%;0.91;11923500000.0;2163100000.0;1845610000.0;317490000.0;5359400000.0;7295590000.0;10834900000.0;871534000.0;562366000.0;2734900000.0;368759000.0;258996000.0;;;;;;
RAPT4;PN N1;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1;Material de Transporte;Material Rodoviário;10.96;6.86;13.24;23054600.0;329331000.0;3609470000.0;6461590000.0;8.68;1.26;1.23;8.94;2.49;25.1%;0.32;13.0%;0.28;6.0%;0.93;11.4%;-3.03;5.3%;15.5%;14.1%;3.75;2.1;4.46;1.79;27.1%;0.88;12767400000.0;5257010000.0;2404890000.0;2852120000.0;7444750000.0;2944690000.0;11179600000.0;1449350000.0;415761000.0;2896680000.0;353191000.0;87414000.0;;;;;;
DXCO3;ON;DEXCO ON;Madeira e Papel;Madeira;7.36;5.34;9.3;22350600.0;820566000.0;6039370000.0;10498600000.0;7.44;0.99;0.94;7.81;5.51;33.5%;0.81;14.8%;0.37;11.2%;5.01;6.6%;-1.15;2.9%;7.9%;12.7%;4.96;1.34;9.57;0.95;14.4%;0.45;16530100000.0;6077760000.0;1618530000.0;4459230000.0;4749000000.0;6411570000.0;7415160000.0;1096520000.0;811791000.0;1768950000.0;189697000.0;297376000.0;;;;;;
CEAB3;ON NM;CEA MODAS ON NM;Comércio;Tecidos, Vestuário e Calçados;7.93;1.94;8.79;21997500.0;308245000.0;2444380000.0;3047910000.0;52.57;0.15;0.86;9.22;5.54;51.9%;0.38;6.9%;0.28;0.7%;1.57;5.0%;-1.42;0.0%;6.9%;1.6%;2.63;1.59;6.91;0.61;16.7%;0.73;8752470000.0;1723130000.0;1119610000.0;603526000.0;4185970000.0;2842690000.0;6374960000.0;441089000.0;46500000.0;1542680000.0;77725000.0;-44234000.0;;;;;;
NEOE3;ON NM;NEOENERGIA ON NM;Energia Elétrica;Energia Elétrica;20.91;12.87;21.62;21205500.0;1213800000.0;25380500000.0;63741500000.0;5.69;3.68;0.85;24.61;2.76;26.4%;0.57;20.7%;0.26;10.2%;17.8;9.3%;-0.55;6.3%;10.5%;14.9%;5.4;1.07;6.94;1.54;12.5%;0.45;99112000000.0;45883000000.0;7522000000.0;38361000000.0;23125000000.0;29866000000.0;44343000000.0;9185000000.0;4461000000.0;11547000000.0;2412000000.0;973000000.0;;;;;;
LEVE3;ON;MAHLE METAL LEVE ON;Automóveis e Motocicletas;Automóveis e Motocicletas;34.55;20.9;43.59;19838900.0;135539000.0;4682870000.0;4663370000.0;6.53;5.29;2.99;11.57;5.74;28.9%;1.06;18.4%;1.49;16.1%;4.82;25.9%;10.2;27.1%;36.0%;45.7%;5.09;1.91;5.72;0.31;18.5%;1.41;3149270000.0;489698000.0;509196000.0;-19498000.0;2037460000.0;1568530000.0;4438120000.0;815492000.0;717232000.0;1179380000.0;227881000.0;215102000.0;;;;;;
BPAN4;PN;BANCO PAN PN;Intermediários Financeiros;Bancos;9.03;4.51;9.29;18701400.0;1269070000.0;11459700000.0;;16.49;0.55;1.41;6.39;;;;;;0.0%;;0.0%;;2.4%;;8.6%;;;;;14.1%;;58843100000.0;;;;;8107320000.0;;;694959000.0;;;175410000.0;27738700000.0;39665900000.0;7724950000.0;2129160000.0;961362000.0;292985000.0
CBAV3;ON NM;CBA ON NM;Mineração;Minerais Metálicos;3.96;3.64;10.13;18674600.0;651073000.0;2578250000.0;5721170000.0;-6.62;-0.6;0.54;7.35;-8.1;1.7%;0.35;-4.3%;0.19;-4.1%;0.94;-2.4%;-0.73;8.0%;-2.8%;-8.1%;22.53;2.26;-17.98;0.93;-20.3%;0.55;13494900000.0;4469460000.0;1326540000.0;3142920000.0;4912740000.0;4784200000.0;7401270000.0;-318244000.0;-389655000.0;1863480000.0;-152907000.0;-289370000.0;;;;;;
ALUP11;UNT N2;ALUPAR UNT N2;Energia Elétrica;Energia Elétrica;29.25;23.82;31.51;18506400.0;914276000.0;8914190000.0;17818100000.0;11.97;2.44;1.18;24.75;3.99;75.8%;2.82;70.6%;0.32;37.9%;3.51;7.9%;-0.74;5.9%;8.8%;9.9%;7.46;1.89;7.97;1.54;-5.7%;0.11;28272600000.0;11620100000.0;2716200000.0;8903920000.0;5382210000.0;7541460000.0;3165400000.0;2236150000.0;744704000.0;648957000.0;406212000.0;100005000.0;;;;;;
BRSR6;PNB;BANRISUL S/A PNB;Intermediários Financeiros;Bancos;15.06;9.05;15.06;18222200.0;408974000.0;6159150000.0;;7.08;2.13;0.64;23.63;;;;;;0.0%;;0.0%;;6.1%;;9.0%;;;;;2.6%;;124341000000.0;;;;;9662090000.0;;;870104000.0;;;303706000.0;0.0;0.0;5242220000.0;1419220000.0;924304000.0;255596000.0
QUAL3;ON NM;QUALICORP ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;2.2;1.96;5.21;16554900.0;284014000.0;624831000.0;1923360000.0;-15.59;-0.14;0.47;4.67;1.5;77.2%;0.35;23.3%;0.13;-1.8%;2.81;8.9%;-0.36;3.6%;12.6%;-3.0%;2.19;1.16;4.61;1.76;-1.9%;0.38;4683340000.0;2331090000.0;1032560000.0;1298530000.0;1624020000.0;1326160000.0;1788550000.0;417187000.0;-40067000.0;443168000.0;112476000.0;9368000.0;;;;;;
TTEN3;ON NM;3TENTOS ON NM;Agropecuária;Agricultura;9.57;9.57;14.27;16414700.0;498298000.0;4768710000.0;4885040000.0;7.61;1.26;1.5;6.37;9.16;14.9%;0.59;6.4%;0.72;7.7%;3.25;7.9%;5.83;0.0%;14.4%;19.7%;8.54;1.52;9.38;0.4;27.7%;1.23;6622660000.0;1262420000.0;1146090000.0;116334000.0;4266610000.0;3172940000.0;8125780000.0;520611000.0;626348000.0;2404340000.0;153386000.0;219144000.0;;;;;;
ABCB4;PN N2;ABC Brasil PN N2;Intermediários Financeiros;Bancos;24.88;14.79;24.88;16024800.0;236936000.0;5894970000.0;;6.92;3.59;1.0;24.78;;;;;;0.0%;;0.0%;;6.2%;;14.5%;;;;;45.9%;;59796300000.0;;;;;5871730000.0;;;851582000.0;;;231463000.0;0.0;0.0;1343290000.0;321779000.0;306399000.0;63021000.0
AMER3;ON;AMERICANAS ON;Comércio;Produtos Diversos;0.6;0.57;1.24;15772600.0;902530000.0;541518000.0;17218100000.0;-0.04;-14.31;-0.02;-29.55;-0.13;19.5%;0.02;-15.6%;0.02;-50.0%;-0.02;-12.8%;-0.01;0.0%;-21.6%;48.4%;-7.15;0.34;-4.29;-0.85;48.8%;0.82;31292300000.0;22749500000.0;6072940000.0;16676600000.0;17048700000.0;-26666600000.0;25808900000.0;-4015670000.0;-12911500000.0;6912030000.0;-4632140000.0;-12464800000.0;;;;;;
VVEO3;ON NM;VIVEO ON NM;Comércio e Distribuição;Medicamentos e Outros Produtos;7.68;7.68;22.15;15644400.0;322821000.0;2479260000.0;4103040000.0;15.32;0.5;0.79;9.69;4.05;15.9%;0.23;5.7%;0.25;1.5%;0.82;6.1%;-2.84;0.0%;9.0%;5.2%;5.78;2.04;6.71;1.06;39.6%;1.08;9962150000.0;3318090000.0;1694310000.0;1623770000.0;5958880000.0;3129440000.0;10805400000.0;611803000.0;161852000.0;2844810000.0;161818000.0;6315000.0;;;;;;
CASH3;ON NM;MELIUZ ON NM;Programas e Serviços;Programas e Serviços;7.06;6.0;10.8;15564500.0;86633800.0;611635000.0;193748000.0;-15.73;-0.45;0.78;9.01;-8.06;-22.1%;1.79;-22.1%;0.51;-7.2%;1.04;-6.3%;1.15;0.0%;-9.8%;-5.0%;-3.46;2.65;-2.55;0.0;28.2%;0.29;1201370000.0;990000.0;418877000.0;-417887000.0;946728000.0;780734000.0;342444000.0;-75848000.0;-38872000.0;70420000.0;-3624000.0;7002000.0;;;;;;
LJQQ3;ON NM;QUERO-QUERO ON NM;Comércio;Produtos Diversos;4.88;3.1;6.48;15344000.0;187290000.0;913975000.0;896823000.0;-24.76;-0.2;1.81;2.69;18.01;34.1%;0.39;2.2%;0.3;-1.6%;0.98;1.7%;-1.77;3.5%;2.1%;-7.3%;5.18;1.86;17.68;0.73;9.4%;0.77;3053460000.0;368781000.0;385933000.0;-17152000.0;2033430000.0;503826000.0;2359150000.0;50735000.0;-36912000.0;622132000.0;25454000.0;-12252000.0;;;;;;
TUPY3;ON;TUPY ON;Material de Transporte;Material Rodoviário;25.29;20.86;28.84;15035800.0;144178000.0;3646260000.0;5893330000.0;8.95;2.83;1.12;22.67;3.98;17.2%;0.32;8.1%;0.37;3.7%;1.14;9.2%;-6.12;3.2%;12.3%;12.5%;4.63;2.1;6.43;1.04;26.9%;1.13;9988930000.0;3389840000.0;1142780000.0;2247060000.0;6124330000.0;3268350000.0;11337300000.0;916554000.0;407446000.0;2975940000.0;280969000.0;148849000.0;;;;;;
RCSL3;ON;RECRUSUL ON;Material de Transporte;Material Rodoviário;1.79;1.55;10.68;15011200.0;127289000.0;227847000.0;227798000.0;-16.48;-0.11;1964.2;0.0;-115.13;12.7%;3.69;-3.2%;3.72;-22.7%;27.37;-3.2%;-7.32;0.0%;-3.4%;-11920.7%;-325.89;1.38;-115.11;;41.9%;1.01;61315000.0;0.0;49000.0;-49000.0;30058000.0;116000.0;61800000.0;-1979000.0;-13828000.0;10148000.0;-978000.0;-2023000.0;;;;;;
JHSF3;ON NM;JHSF Part ON NM;Construção Civil;Incorporações;4.25;3.27;5.63;14894200.0;679329000.0;2887150000.0;5448270000.0;8.06;0.53;0.57;7.42;6.24;53.4%;1.92;30.7%;0.27;23.9%;1.45;4.3%;-1.25;9.1%;4.5%;7.1%;10.44;2.85;11.78;0.61;29.7%;0.14;10755800000.0;3076730000.0;515604000.0;2561130000.0;3057730000.0;5040500000.0;1504750000.0;462483000.0;358056000.0;350086000.0;102014000.0;79193000.0;;;;;;
VULC3;ON;VULCABRAS S/A. ON;Tecidos, Vestuário e Calçados;Calçados;18.28;9.6;20.44;14854400.0;273016000.0;4990730000.0;5001290000.0;8.84;2.07;2.51;7.27;10.05;40.6%;1.8;18.0%;1.78;20.4%;3.29;17.7%;4.35;12.0%;21.7%;28.4%;8.44;4.39;10.08;0.19;25.1%;0.99;2800270000.0;373946000.0;363388000.0;10558000.0;1963060000.0;1985350000.0;2765230000.0;496376000.0;564492000.0;731352000.0;147945000.0;127613000.0;;;;;;
HBSA3;ON NM;HIDROVIAS ON NM;Transporte;Transporte Hidroviário;3.57;1.73;4.69;14547300.0;760383000.0;2714570000.0;6273980000.0;51.12;0.07;1.71;2.09;5.89;38.6%;1.35;22.9%;0.42;2.6%;3.3;7.2%;-0.79;0.0%;8.4%;3.3%;7.65;2.44;13.62;2.75;10.9%;0.31;6408570000.0;4356520000.0;797110000.0;3559410000.0;1396150000.0;1585400000.0;2008160000.0;460533000.0;53100000.0;486973000.0;108470000.0;71258000.0;;;;;;
ORVR3;ON NM;ORIZON ON NM;Água e Saneamento;Água e Saneamento;33.69;32.82;39.72;14468900.0;82950900.0;2794620000.0;3738480000.0;-18.28;-1.84;4.53;7.44;29.93;30.6%;3.69;12.3%;1.25;-19.4%;8.39;4.2%;-2.88;0.0%;4.7%;-24.8%;13.61;2.22;40.04;1.85;40.5%;0.34;2239120000.0;1144660000.0;200797000.0;943861000.0;606045000.0;617519000.0;756898000.0;93358000.0;-152874000.0;192599000.0;40827000.0;1851000.0;;;;;;
MYPK3;ON;IOCHPE-MAXION ON;Automóveis e Motocicletas;Automóveis e Motocicletas;12.1;10.37;15.43;13388400.0;153720000.0;1860010000.0;5672780000.0;-18.07;-0.67;0.49;24.94;2.73;9.3%;0.12;4.4%;0.12;0.0%;0.63;4.5%;-0.66;2.5%;6.8%;-2.7%;4.89;1.58;8.33;1.79;16.9%;1.04;15080200000.0;6867440000.0;3054670000.0;3812760000.0;8048780000.0;3834280000.0;15631700000.0;680967000.0;-102911000.0;3672360000.0;178922000.0;-4784000.0;;;;;;
AMBP3;ON NM;AMBIPAR ON NM;Água e Saneamento;Água e Saneamento;14.57;13.65;23.93;13122200.0;167042000.0;2433800000.0;6949270000.0;-19.18;-0.76;2.46;5.92;2.55;23.5%;0.52;20.2%;0.23;-0.6%;0.97;9.1%;-0.56;0.6%;12.7%;-12.8%;5.15;2.3;7.28;7.15;79.7%;0.45;10510500000.0;7076860000.0;2561390000.0;4515470000.0;4446470000.0;989635000.0;4717280000.0;955132000.0;-126917000.0;1182260000.0;247760000.0;-2400000.0;;;;;;
IFCM3;ON NM;INFRACOMM ON NM;Programas e Serviços;Programas e Serviços;1.33;0.96;2.7;12363300.0;637335000.0;847656000.0;1403070000.0;-3.31;-0.4;0.62;2.14;-18.72;43.4%;0.8;-4.2%;0.26;-24.0%;-32.58;-1.4%;-0.87;0.0%;-1.8%;-18.7%;11.49;0.97;-30.98;0.56;34.1%;0.33;3205790000.0;765040000.0;209631000.0;555409000.0;867463000.0;1366400000.0;1065800000.0;-45285000.0;-256179000.0;290018000.0;10173000.0;-52408000.0;;;;;;
MTRE3;ON NM;MITRE REALTY ON NM;Construção Civil;Incorporações;4.95;2.87;6.97;11410300.0;105775000.0;523586000.0;1045640000.0;6.06;0.82;0.54;9.24;10.11;21.9%;0.57;5.7%;0.24;9.4%;0.47;2.4%;0.82;15.3%;2.6%;8.8%;17.57;2.65;20.19;0.63;32.4%;0.42;2171090000.0;620239000.0;98188000.0;522051000.0;1802560000.0;976846000.0;911106000.0;51783000.0;86414000.0;276552000.0;15797000.0;1894000.0;;;;;;
MILS3;ON NM;MILLS ON NM;Diversos;Aluguel de carros;12.25;8.35;13.7;11319500.0;246309000.0;3017290000.0;3492630000.0;12.33;0.99;2.17;5.65;6.59;65.4%;2.26;34.2%;1.1;18.3%;4.98;16.6%;-8.63;2.4%;22.5%;17.6%;5.29;2.49;7.63;0.76;43.6%;0.49;2755340000.0;1054750000.0;579407000.0;475344000.0;1012780000.0;1390720000.0;1337560000.0;457756000.0;244655000.0;347785000.0;117452000.0;66552000.0;;;;;;
OIBR3;ON N1;OI ON N1;Telecomunicações;Telecomunicações;1.17;0.57;2.03;11250600.0;660304000.0;772555000.0;23492500000.0;-0.03;-34.24;-0.03;-40.62;-0.19;-3.7%;0.08;-39.6%;0.03;-224.7%;-0.2;-13.4%;-0.02;0.0%;-17.9%;84.3%;-12.44;0.72;-5.9;-0.94;-17.5%;0.34;29725700000.0;25202900000.0;2483020000.0;22719900000.0;10088700000.0;-26822900000.0;10060400000.0;-3982370000.0;-22608900000.0;2421780000.0;-962634000.0;-2830950000.0;;;;;;
UNIP6;PNB;UNIPAR PARTICIPAÇÕES S.A. PNB;Químicos;Químicos Diversos;66.94;60.78;81.75;11026100.0;103876000.0;6953460000.0;6690040000.0;8.97;7.47;2.48;27.04;5.44;35.7%;1.22;22.5%;1.12;13.7%;5.47;20.6%;-9.76;5.2%;29.8%;27.6%;4.39;1.92;5.24;0.47;21.8%;0.92;6198660000.0;1332240000.0;1595670000.0;-263422000.0;2650190000.0;2808340000.0;5689650000.0;1277720000.0;775469000.0;1366290000.0;230552000.0;189909000.0;;;;;;
SEQL3;ON NM;SEQUOIA LOG ON NM;Serviços Diversos;Serviços Diversos;0.5;0.37;3.7;10961200.0;388883000.0;194441000.0;1168440000.0;-0.38;-1.32;1.53;0.33;-0.54;2.5%;0.19;-35.3%;0.11;-50.0%;-0.81;-21.4%;-0.17;0.0%;-23.2%;-404.6%;-5.67;0.64;-3.23;7.77;-14.8%;0.61;1692630000.0;985405000.0;11409000.0;973996000.0;418709000.0;126809000.0;1025340000.0;-361470000.0;-513007000.0;126229000.0;-184140000.0;-236263000.0;;;;;;
PLPL3;ON NM;PLANOEPLANO ON NM;Construção Civil;Incorporações;12.53;3.87;12.53;10902200.0;204256000.0;2559330000.0;2678200000.0;10.52;1.19;4.28;2.92;5.68;33.7%;1.37;24.1%;1.29;13.3%;2.27;22.7%;7.21;5.3%;32.3%;40.7%;5.74;2.96;5.94;0.78;22.4%;0.94;1983030000.0;465040000.0;346163000.0;118877000.0;1699010000.0;597321000.0;1868750000.0;450801000.0;243257000.0;556729000.0;90631000.0;75732000.0;;;;;;
KEPL3;ON;KEPLER WEBER SA ON;Máquinas e Equipamentos;Máq. e Equip. Industriais;9.35;6.7;11.97;10769700.0;179720000.0;1680380000.0;1569880000.0;6.36;1.47;2.47;3.79;5.51;32.0%;1.11;20.2%;1.22;17.5%;4.46;22.1%;7.36;9.2%;33.0%;38.8%;4.64;1.68;5.15;0.31;33.8%;1.09;1381920000.0;209539000.0;320036000.0;-110497000.0;928480000.0;681618000.0;1511910000.0;304992000.0;264202000.0;405628000.0;64470000.0;66591000.0;;;;;;
VLID3;ON NM;VALID ON NM;Serviços Diversos;Serviços Diversos;19.8;7.63;22.34;9683240.0;81836000.0;1620350000.0;1901450000.0;8.0;2.47;1.19;16.6;3.52;38.8%;0.83;23.4%;0.6;9.7%;2.4;17.2%;26.21;4.8%;22.5%;14.9%;3.26;2.0;4.14;0.54;1.4%;0.73;2679660000.0;736416000.0;455318000.0;281098000.0;1348350000.0;1358760000.0;1961580000.0;459740000.0;202476000.0;558409000.0;115242000.0;60712000.0;;;;;;
GUAR3;ON;GUARARAPES CONFECÇÕES ON;Comércio;Tecidos, Vestuário e Calçados;5.04;3.72;8.29;9531690.0;499200000.0;2515970000.0;4233350000.0;-15.55;-0.32;0.5;9.99;11.93;58.3%;0.29;2.4%;0.18;-1.9%;0.75;1.5%;-24.98;0.0%;1.9%;-3.2%;5.1;1.62;20.07;0.75;5.4%;0.63;13787900000.0;3729040000.0;2011670000.0;1717380000.0;8700400000.0;4986780000.0;8655960000.0;210895000.0;-161768000.0;2099470000.0;14158900.0;-70742000.0;;;;;;
JSLG3;ON NM;JULIO SIMOES ON NM;Transporte;Transporte Rodoviário;10.66;6.15;13.2;8345670.0;286431000.0;3053350000.0;8145400000.0;8.19;1.3;1.81;5.88;3.5;18.5%;0.43;12.3%;0.29;5.3%;2.47;8.2%;-0.53;3.0%;9.7%;22.1%;6.32;1.64;9.33;3.76;-8.2%;0.67;10600500000.0;6324340000.0;1232290000.0;5092050000.0;3168640000.0;1683290000.0;7075720000.0;873219000.0;372815000.0;2010130000.0;250117000.0;46858000.0;;;;;;
