Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
RADL3;ON;RAIADROGASIL ON;Comércio e Distribuição;Medicamentos e Outros Produtos;24.9;21.29;29.51;184995000.0;1718010000.0;42778400000.0;45263300000.0;39.63;0.63;7.48;3.33;21.34;30.0%;1.3;6.1%;2.21;3.3%;11.81;10.3%;-18.84;1.2%;14.2%;18.9%;12.44;1.47;22.58;0.54;18.6%;1.7;19386500000.0;3104470000.0;619524000.0;2484940000.0;11320800000.0;5721820000.0;32885700000.0;2004490000.0;1079360000.0;8675810000.0;488973000.0;263685000.0;;;;;;
SUZB3;ON;Suzano Papel ON;Madeira e Papel;Papel e Celulose;53.04;37.26;57.42;181008000.0;1304120000.0;69170400000.0;127248000000.0;4.06;13.06;1.66;32.02;4.87;42.6%;1.58;32.4%;0.49;39.0%;2.81;10.0%;-1.12;2.2%;12.3%;40.8%;5.88;2.82;8.97;1.88;20.0%;0.31;141618000000.0;78551000000.0;20473700000.0;58077300000.0;38226600000.0;41762300000.0;43753700000.0;14190500000.0;17033900000.0;8948010000.0;1699290000.0;-732993000.0;;;;;;
WEGE3;ON N1;WEG SA ON N1;Máquinas e Equipamentos;Motores, Compressores e Outros;33.49;31.42;41.52;175620000.0;4197320000.0;140568000000.0;137693000000.0;27.14;1.23;8.72;3.84;20.2;32.4%;4.4;21.8%;4.67;16.6%;14.61;23.1%;19.34;1.2%;31.6%;32.1%;18.18;1.86;19.79;0.18;27.1%;1.06;30075800000.0;2848570000.0;5723310000.0;-2874740000.0;20745900000.0;16123000000.0;31922000000.0;6959130000.0;5179930000.0;8074840000.0;1753670000.0;1311690000.0;;;;;;
VBBR3;ON;VIBRA ON;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;24.0;11.92;24.55;175315000.0;1165000000.0;27960000000.0;37527000000.0;13.74;1.75;2.06;11.64;7.07;4.6%;0.17;2.4%;0.68;1.2%;2.21;9.7%;-5.43;3.5%;13.0%;15.0%;8.33;2.31;9.49;1.18;20.2%;4.01;40978000000.0;16003000000.0;6436000000.0;9567000000.0;22271000000.0;13555000000.0;164361000000.0;3956000000.0;2035000000.0;43063000000.0;2136000000.0;1255000000.0;;;;;;
CIEL3;ON NM;CIELO ON NM;Serviços Financeiros Diversos;Serviços Financeiros Diversos;5.26;3.19;5.47;169547000.0;2716820000.0;14290400000.0;8222680000.0;6.85;0.77;1.17;4.51;10.21;48.4%;2.21;21.6%;0.12;32.3%;2.19;1.2%;4.52;5.4%;19.3%;17.0%;4.28;1.07;5.88;0.63;-8.0%;0.06;115098000000.0;7730930000.0;13798700000.0;-6067770000.0;106002000000.0;12258800000.0;6469250000.0;1399170000.0;2086840000.0;-377244000.0;-585905000.0;480650000.0;;;;;;
RRRP3;ON NM;3R PETROLEUM ON NM;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;29.19;25.82;38.69;166723000.0;240384000.0;7016800000.0;14776700000.0;-190.77;-0.15;1.35;21.57;7.82;31.7%;1.66;21.3%;0.36;-1.5%;121.73;4.7%;-0.61;0.0%;5.0%;-0.7%;10.47;1.02;16.47;1.65;153.8%;0.22;19276100000.0;8556400000.0;796495000.0;7759910000.0;2555700000.0;5185410000.0;4215670000.0;897288000.0;-36782000.0;2360260000.0;613134000.0;-83488000.0;;;;;;
BBSE3;ON NM;BBSEGURIDADE ON NM;Previdência e Seguros;Seguradoras;32.77;27.21;34.54;163118000.0;2000000000.0;65540000000.0;;8.25;3.97;6.68;4.91;7.36;;;;3.59;0.0%;;48.7%;;8.8%;;81.0%;;;;;;;18272600000.0;0.0;0.0;0.0;0.0;9816480000.0;0.0;8905770000.0;7947200000.0;0.0;2332750000.0;2097800000.0;;;;;;
ARZZ3;ON NM;AREZZO CO ON NM;Comércio;Tecidos, Vestuário e Calçados;59.0;55.51;83.61;158288000.0;110989000.0;6548350000.0;6997290000.0;17.02;3.47;2.26;26.05;12.97;53.6%;1.38;10.7%;1.16;8.1%;12.82;9.0%;-158.42;3.3%;11.4%;13.3%;9.66;1.23;13.86;0.38;37.5%;0.84;5634420000.0;1092500000.0;643566000.0;448935000.0;2683760000.0;2891400000.0;4733550000.0;504915000.0;384642000.0;1265820000.0;145392000.0;113863000.0;;;;;;
ENGI11;UNT N2;ENERGISA UNT N2;Energia Elétrica;Energia Elétrica;50.45;35.01;54.44;157009000.0;2289420000.0;23100300000.0;48552600000.0;13.68;3.69;1.92;26.31;3.99;27.2%;0.85;21.4%;0.35;8.3%;-61.59;8.9%;-0.66;4.4%;10.1%;14.0%;6.68;0.98;8.39;2.58;11.5%;0.42;65288700000.0;31039100000.0;5586730000.0;25452300000.0;15282500000.0;12045000000.0;27117500000.0;5789740000.0;1688980000.0;7329170000.0;1653640000.0;493390000.0;;;;;;
NTCO3;ON NM;GRUPO NATURA ON NM;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;16.25;10.52;18.34;153012000.0;1386850000.0;22536300000.0;21973800000.0;4.74;3.43;0.8;20.21;14.56;65.0%;0.68;4.7%;0.45;14.4%;2.87;3.1%;-4.45;0.0%;4.0%;16.9%;5.54;1.82;14.2;0.22;-5.9%;0.65;50570800000.0;6210900000.0;6773350000.0;-562448000.0;17463100000.0;28029100000.0;33001100000.0;1547590000.0;4750110000.0;7517260000.0;378879000.0;7024430000.0;;;;;;
