Ticker;Nome da Empresa;Setor de Atuação;Nota dos Usuários;Num. de Votos;Segmento de Listagem;Tag Along;Free Float;Listagem CVM;Fundação
JBSS;JBS;Alimentos - Carnes e Derivados;3.5;23;Novo Mercado;100% ON;25,34% ON;2007;1998
CXSE;Caixa Seguridade;Seguros;4.2;48;Novo Mercado;100% ON;17,25% ON;2015;2015
RADL;RD Saúde;Varejo - Farmacêutico;4.8;135;Novo Mercado;100% ON;69,00% ON;1977;1935
TIMS;TIM;Telecomunicações;4.1;34;Novo Mercado;100% ON;33,40% ON;2020;1998
RAIL;Rumo Log;Logística e Ferroviário;3.2;21;Novo Mercado;100% ON;53,14% ON;1998;1997
RAIZ;Raízen;Petróleo e Gás - Distribuição;3.1;21;Nível 2;100% ON - 100% PN;68,05% PN - 8,93% Total;2021;1961
PRIO;PRIO;Petróleo e Gás - E&P;4.7;169;Novo Mercado;100% ON;83,24% ON;2010;2008
CPFE;CPFL Energia;Energia - Distribuição;4.4;56;Novo Mercado;100% ON;16,29% ON;2000;1998
EQTL;Equatorial;Energia - Distribuição;4.7;136;Novo Mercado;100% ON;78,41% ON;2006;1999
GGBR;Gerdau;Siderurgia;3.8;33;Nível 1;100% ON - 100% PN;2,45% ON - 89,22% PN - 59,57% Total;1980;1961
EGIE;Engie;Energia - Geração;4.9;213;Novo Mercado;100% ON;21,43% ON;1998;1998
CSAN;Cosan;Holding;3.9;51;Novo Mercado;100% ON;63,75% ON;2005;1966
UGPA;Ultrapar;Petróleo e Gás - Distribuição;3.6;17;Novo Mercado;100% ON;54,89% ON;1999;1953
CMIN;CSN Mineração;Mineração;3.9;29;Nível 2;100% ON;8,72% ON;2021;2007
HAPV;Hapvida;Seguros;2.3;35;Novo Mercado;100% ON;58,36% ON;2018;2001
CCRO;CCR;Exploração de Rodovias;3.2;14;Novo Mercado;100% ON;39,26% ON;2000;1998
CPLE;Copel;Energia - Distribuição;3.8;26;Nível 2;100% ON - 100% PN - 100% UNIT;57,37% ON - 50,72% PN - 53,62% Total;1994;1954
CRFB;Carrefour;Varejo - Alimentício;3.3;19;Novo Mercado;100% ON;25,33% ON;2017;1980
BRFS;BRF;Alimentos - Carnes e Derivados;2.2;13;Novo Mercado;100% ON;26,46% ON;1997;1934
VBBR;Vibra Energia;Petróleo e Gás - Distribuição;3.2;23;Novo Mercado;100% ON;71,83% ON;2017;1971
CMIG;Cemig;Energia - Distribuição;3.7;25;Nível 1;80% ON - 0% PN;5,91% ON - 77,12% PN - 53,31% Total;1971;1952
KLBN;Klabin;Papel e Celulose;4.2;88;Nível 2;100% ON - 100% PN - 100% UNIT;36,08% ON - 73,65% PN - 59,73% Total;1997;1978
NTCO;Natura&Co;Produtos de Uso Pessoal;1.8;18;Novo Mercado;100% ON;50,94% ON;2019;2019
ENGI;Energisa;Energia - Distribuição;3.2;10;Nível 2;100% ON - 100% PN - 100% UNIT;23,85% ON - 60,00% PN - 45,99% Total;1995;1995
NEOE;Neoenergia;Energia - Distribuição;3.5;37;Novo Mercado;100% ON;16,08% ON;1996;1996
EMBR;Embraer;Produção de Aeronaves;2.6;14;Novo Mercado;100% ON;78,81% ON;2006;2005
HYPE;Hypera Pharma;Medicamentos;4.6;132;Novo Mercado;100% ON;48,02% ON;2008;2001
CSNA;CSN;Siderurgia;2.8;10;Tradicional;80% ON;45,31% ON;1943;1941
BRKM;Braskem;Químicos;1.4;17;Nível 1;80% ON - 0% PN;2,86% ON - 34,03% PN - 16,37% Total;1978;1972
ENEV;Eneva;Energia - Geração;3.3;15;Novo Mercado;100% ON;36,25% ON;2007;2001
PSSA;Porto;Seguros;4.8;148;Novo Mercado;100% ON;28,34% ON;1997;1997
ASAI;Assaí;Varejo - Alimentício;4;33;Novo Mercado;100% ON;74,28% ON;2020;2003
TRPL;Trans Paulista;Energia - Transmissão;3.4;43;Nível 1;80% ON - 0% PN;0,77% ON - 46,24% PN - 28,44% Total;1999;1999
TOTS;Totvs;Software;4.4;65;Novo Mercado;100% ON;72,83% ON;2006;1983
GMAT;Grupo Mateus;Varejo - Alimentício;4.2;54;Novo Mercado;100% ON;15,84% ON;2020;2016
EQPA;Equatorial Pará;Energia - Distribuição;0;0;Tradicional;80% ON - 0% PN;1,92% ON - 80,90% PN - 2,08% Total;1999;1962
CEGR;Ceg;Gás;3;2;Tradicional;80% ON;2,42% ON;1997;1969
ENMT;Energisa MT;Energia - Distribuição;2.5;2;Tradicional;80% ON - 0% PN;5,80% ON - 0,74% PN - 2,49% Total;1994;1956
SMFT;Smart Fit;Academias;3.4;38;Novo Mercado;100% ON;31,37% ON;2017;2005
MULT;Multiplan;Shoppings;4.7;96;Nível 2;100% ON - 100% PN;40,00% ON;2007;2005
LREN;Lojas Renner;Vestuário - Geral;4.1;137;Novo Mercado;100% ON;73,95% ON;1977;1965
MGLU;Magazine Luiza;Varejo - Geral;2.9;76;Novo Mercado;100% ON;42,75% ON;2011;1957
REDE;Rede Energia;Energia - Distribuição;3;1;Tradicional;80% ON - 0% PN;0,42% ON;1969;1929
ALOS;Allos;Shoppings;3.6;21;Novo Mercado;100% ON;70,59% ON;2011;2003
CIEL;Cielo;Meios de Pagamento;3.5;29;Novo Mercado;100% ON;40,38% ON;2009;1995
MDIA;M.Dias Branco;Alimentos - Variados;3.6;91;Novo Mercado;100% ON;31,96% ON;2006;1951
CGAS;Comgás;Gás;2.1;9;Tradicional;80% ON - 0% PN;0,16% ON - 3,40% PN - 0,86% Total;1996;1872
INBR;Inter&Co;Bancos;3.3;21;Tradicional;80% ON;48,23% ON;2022;1
GGPS;Grupo GPS;Serviços Diversos;3.9;27;Novo Mercado;100% ON;58,63% ON;2021;2007
TAEE;Taesa;Energia - Transmissão;4.1;94;Nível 2;100% ON - 100% PN - 100% UNIT;37,00% ON - 93,55% PN - 61,23% Total;2006;2006
USIM;Usiminas;Siderurgia;2.6;12;Nível 1;80% ON - 0% PN;7,71% ON - 69,04% PN - 34,52% Total;1994;1954
AURE;Auren;Energia - Geração;3.9;23;Novo Mercado;100% ON;29,21% ON;2022;2017
BPAN;Banco Pan;Bancos;3.1;13;Nível 1;100% PN;47,95% PN - 23,19% Total;2007;1966
GOAU;Metalúrgica Gerdau;Holding;4.1;21;Nível 1;100% ON - 100% PN;12,46% ON - 74,23% PN - 52,39% Total;1968;1901
CEEB;Coelba;Energia - Distribuição;1;2;Tradicional;80% ON - 0% PN;1,55% ON - 0,28% PN - 1,02% Total;1994;1960
STBP;Santos Brasil;Logística e Portuário;3.5;17;Novo Mercado;100% ON;52,02% ON;1998;1998
SMTO;São Martinho;Açúcar e Álcool;3.8;32;Novo Mercado;100% ON;44,10% ON;2007;1943
ALUP;Alupar;Energia - Transmissão;4;52;Nível 2;100% ON - 100% PN - 100% UNIT;17,53% ON - 74,33% PN - 35,76% Total;2008;2006
VAMO;Vamos;Locação - Veículos;4.4;113;Novo Mercado;100% ON;44,47% ON;2019;2015
BNBR;Banco do Nordeste;Bancos;2.7;3;Tradicional;80% ON - 0% PN;2,39% ON;1977;1954
EKTR;Elektro;Energia - Distribuição;1;3;Tradicional;80% ON - 0% PN;0,03% ON - 0,59% PN - 0,32% Total;1998;1998
CYRE;Cyrela Realty;Construção;3.3;9;Novo Mercado;100% ON;66,49% ON;1994;1993
MRFG;Marfrig;Alimentos - Carnes e Derivados;3.1;15;Novo Mercado;100% ON;35,74% ON;2007;2000
SLCE;SLC Agrícola;Agronegócio;4.4;77;Novo Mercado;100% ON;38,71% ON;2007;1977
FLRY;Fleury;Medicina Diagnóstica;4.6;171;Novo Mercado;100% ON;44,28% ON;2009;1964
PORT;Wilson Sons;Logística e Portuário;3.4;10;Novo Mercado;100% ON;21,52% ON;2021;1971
BRAP;Bradespar;Holding;3.4;11;Nível 1;100% ON - 80% PN;22,08% ON - 67,69% PN - 51,68% Total;2000;2000
POMO;Marcopolo;Automotivo;3.8;16;Nível 2;100% ON - 80% PN;18,63% ON - 77,30% PN - 56,13% Total;1977;1949
SAPR;Sanepar;Saneamento;4.4;95;Nível 2;100% ON - 100% PN - 100% UNIT;37,74% ON - 94,89% PN - 75,84% Total;2000;1963
CSMG;Copasa;Saneamento;4.2;19;Novo Mercado;100% ON;49,69% ON;2003;1963
ENAT;Enauta;Petróleo e Gás - E&P;3.4;20;Novo Mercado;100% ON;39,40% ON;2011;2010
RRRP;3R Petroleum;Petróleo e Gás - E&P;3.2;34;Novo Mercado;100% ON;75,78% ON;2020;2010
IGTI;Iguatemi;Shoppings;2.6;11;Nível 1;100% ON - 100% PN - 100% UNIT;24,70% ON - 71,84% PN - 41,61% Total;1946;1946
INTB;Intelbras;Produtos Diversos;4.1;49;Novo Mercado;100% ON;27,38% ON;2021;1974
ODPV;Odontoprev;Seguros;4.5;68;Novo Mercado;100% ON;41,80% ON;2006;1987
ARZZ;Arezzo;Vestuário - Calçados;4.7;128;Novo Mercado;100% ON;55,27% ON;2011;1972
SIMH;Simpar;Holding;4;34;Novo Mercado;100% ON;33,55% ON;2020;2005
UNIP;Unipar;Químicos;3.7;28;Tradicional;80% ON - 0% PN;14,05% ON - 65,51% PN - 47,52% Total;1971;1969
RECV;PetroReconcavo;Petróleo e Gás - E&P;3.7;23;Novo Mercado;100% ON;41,90% ON;2021;1999
WHRL;Whirlpool;Eletrodomésticos;2.2;5;Tradicional;80% ON - 0% PN;0,80% ON - 4,33% PN - 1,91% Total;1994;1957
DXCO;Dexco;Produtos para Construção Civil;3.3;12;Novo Mercado;100% ON;37,28% ON;2007;1962
ALPA;Alpargatas;Vestuário - Calçados;2.3;12;Nível 1;80% ON - 0% PN;3,15% ON - 37,33% PN - 20,34% Total;1977;1907
AESB;AES Brasil;Energia - Geração;3;31;Novo Mercado;100% ON;40,68% ON;2021;2020
VIVA;Vivara;Artigos de Luxo;4.7;144;Novo Mercado;100% ON;54,87% ON;2019;2019
ECOR;Ecorodovias;Exploração de Rodovias;2.5;2;Novo Mercado;100% ON;32,95% ON;2003;2000
SRNA;Serena;Energia - Geração;2;10;Novo Mercado;100% ON;26,95% ON;2021;2021
CURY;Cury Construtora;Construção;4.1;24;Novo Mercado;100% ON;43,05% ON;2020;2007
SOMA;Grupo Soma;Vestuário - Geral;4.4;76;Novo Mercado;100% ON;51,85% ON;2020;2008
BRSR;Banrisul;Bancos;3.4;20;Nível 1;100% ON - 100% PN;1,87% ON - 99,63% PN - 50,61% Total;1977;1928
GRND;Grendene;Vestuário - Calçados;3.5;55;Novo Mercado;100% ON;22,45% ON;2004;1971
ABCB;Banco ABC;Bancos;3.9;31;Nível 2;100% PN;66,70% PN - 33,20% Total;2007;1983
GOLL;Gol;Aéreo;1.1;14;Nível 2;100% PN;52,09% PN - 5,49% Total;2004;2004
YDUQ;Yduqs;Educação;3.5;26;Novo Mercado;100% ON;64,38% ON;2007;2007
DASA;Dasa;Medicina Diagnóstica;1.3;10;Novo Mercado;100% ON;12,38% ON;2004;1966
TTEN;3tentos;Agronegócio;4.3;66;Novo Mercado;100% ON;22,89% ON;2021;2011
BAZA;Banco da Amazônia;Bancos;3.6;5;Tradicional;80% ON;2,99% ON;1977;1942
ONCO;Oncoclínicas;Serviços Hospitalares;3.1;12;Novo Mercado;100% ON;47,42% ON;2021;2010
SHUL;Schulz;Automotivo;3.9;32;Tradicional;80% ON - 0% PN;0,07% ON - 41,23% PN - 23,65% Total;1994;1963
COGN;Cogna;Educação;2.7;26;Novo Mercado;100% ON;74,56% ON;1998;1998
AZUL;Azul;Aéreo;1.4;11;Nível 2;100% PN;88,04% PN - 23,37% Total;2017;2008
VULC;Vulcabras;Vestuário - Calçados;3.9;34;Novo Mercado;100% ON;25,23% ON;1977;1952
FRAS;Frasle Mobility;Automotivo;4.4;59;Nível 1;80% ON;12,45% ON;1977;1954
MOAR;Monteiro Aranha;Holding;1;2;Tradicional;80% ON;4,60% ON;1980;1947
ARML;Armac;Locação - Máquinas e Equip.;4;14;Novo Mercado;100% ON;19,62% ON;2021;1994
LEVE;Mahle Metal Leve;Automotivo;4.4;88;Novo Mercado;100% ON;31,09% ON;1977;1950
MRVE;MRV Engenharia;Construção;2.2;17;Novo Mercado;100% ON;67,68% ON;2007;2006
DIRR;Direcional;Construção;4.2;23;Novo Mercado;100% ON;58,17% ON;2008;1981
BEEF;Minerva;Alimentos - Carnes e Derivados;3.8;13;Novo Mercado;100% ON;43,71% ON;2007;1992
CSRN;Cosern;Energia - Distribuição;0;0;Tradicional;80% ON - 0% PN;6,82% ON - 7,22% PN - 6,91% Total;1999;1961
BSLI;Banco de Brasília;Bancos;1;1;Tradicional;80% ON - 0% PN;2,01% ON - 2,19% PN - 2,05% Total;1993;1964
TUPY;Tupy;Automotivo;4;37;Novo Mercado;100% ON;36,75% ON;1966;1938
LOGN;Log-in;Logística e Hidroviário;3.3;9;Novo Mercado;100% ON;10,18% ON;2007;1973
RAPT;Randoncorp;Automotivo;3.9;39;Nível 1;80% ON - 80% PN;9,44% ON - 83,08% PN - 57,03% Total;1993;1992
GUAR;Guararapes;Vestuário - Geral;3.1;15;Novo Mercado;100% ON;17,25% ON;1958;1956
COCE;Coelce;Energia - Distribuição;2.4;5;Tradicional;80% ON - 0% PN;2,03% ON - 24,27% PN - 10,54% Total;1995;1971
GPAR;Celg;Energia - Distribuição;0;0;Tradicional;80% ON;0,10% ON;2008;2006
EZTC;Eztec;Construção;4.1;77;Novo Mercado;100% ON;47,62% ON;2007;2006
FESA;Ferbasa;Siderurgia;3.4;29;Nível 1;80% ON - 0% PN;1,05% ON - 54,55% PN - 36,72% Total;1961;1961
JSLG;JSL;Logística e Rodoviário;3.6;9;Novo Mercado;100% ON;29,08% ON;2010;1969
LWSA;Locaweb;Serviços Diversos;3.2;17;Novo Mercado;100% ON;45,71% ON;2020;1997
MOVI;Movida;Locação - Veículos;3.8;48;Novo Mercado;100% ON;40,68% ON;2016;2014
MILS;Mills;Locação - Máquinas e Equip.;4.2;48;Novo Mercado;100% ON;36,97% ON;2010;1980
IRBR;IRB Brasil;Seguros;1.6;53;Novo Mercado;100% ON;67,06% ON;2017;1939
ORVR;Orizon;Ambiental;2.4;9;Novo Mercado;100% ON;45,47% ON;2021;2009
SBFG;Grupo SBF;Vestuário - Geral;3.6;19;Novo Mercado;100% ON;40,82% ON;2019;2011
CBEE;Ampla Energia;Energia - Distribuição;0;0;Tradicional;80% ON;0,20% ON;1969;1909
CAML;Camil;Alimentos - Variados;3.3;32;Novo Mercado;100% ON;27,08% ON;2017;1990
CEAB;C&A;Vestuário - Geral;3.1;11;Novo Mercado;100% ON;33,83% ON;2019;1981
JHSF;JHSF;Construção;3.4;19;Novo Mercado;100% ON;37,00% ON;2007;2006
BEES;Banestes;Bancos;3.3;3;Tradicional;100% ON - 100% PN;7,52% ON - 7,94% PN - 7,63% Total;1977;1937
CBAV;CBA;Alumínio;2.8;16;Novo Mercado;100% ON;31,41% ON;2021;1941
PLPL;Plano&Plano;Construção;3.7;9;Novo Mercado;100% ON;26,79% ON;2020;2016
HBSA;Hidrovias do Brasil;Logística e Hidroviário;2.5;14;Novo Mercado;100% ON;51,46% ON;2011;2010
AMBP;Ambipar;Ambiental;3.3;34;Novo Mercado;100% ON;28,03% ON;2020;2010
AURA;Aura Minerals;Mineração;3.2;6;Tradicional;80% ON;;2020;1946
BMEB;Banco Mercantil;Bancos;3.4;7;Nível 1;80% ON - 0% PN;18,39% ON - 47,22% PN - 29,30% Total;1977;1940
CLSC;Celesc;Energia - Distribuição;2.7;10;Nível 2;100% ON - 100% PN;5,09% ON - 24,28% PN - 16,56% Total;1973;1955
MATD;Hospital Mater Dei;Serviços Hospitalares;3.1;9;Novo Mercado;100% ON;16,24% ON;2021;1973
GEPA;Paranapanema Energia;Energia - Geração;2;1;Tradicional;80% ON - 0% PN;0,94% ON - 5,24% PN - 3,81% Total;1999;1999
VVEO;Viveo;Medicamentos;2.9;11;Novo Mercado;100% ON;37,50% ON;2021;2010
AGRO;BrasilAgro;Agronegócio;4.4;70;Novo Mercado;100% ON;46,84% ON;2006;2005
JALL;Jalles Machado;Açúcar e Álcool;4.2;34;Novo Mercado;100% ON;31,70% ON;2021;1980
LOGG;Log CP;Construção;3.4;16;Novo Mercado;100% ON;29,88% ON;2013;2007
ELMD;Eletromidia;Serviços Diversos;2.6;8;Novo Mercado;100% ON;25,20% ON;2021;2013
PETZ;Petz;Pet shop;3.5;89;Novo Mercado;100% ON;54,56% ON;2020;2013
RANI;Irani;Papel e Celulose;4.3;72;Novo Mercado;100% ON;44,90% ON;1977;1941
BLAU;Blau Farmacêutica;Medicamentos;3.9;42;Novo Mercado;100% ON;16,63% ON;2019;1987
SOJA;Boa Safra;Agronegócio;4.2;45;Novo Mercado;100% ON;30,16% ON;2021;2009
MYPK;Iochpe-Maxion;Automotivo;2.8;18;Novo Mercado;100% ON;64,25% ON;1984;1940
BMGB;Banco BMG;Bancos;2;13;Nível 1;100% ON - 100% PN;2,13% ON - 53,45% PN - 20,66% Total;2018;1964
TFCO;Track Field;Vestuário - Geral;3.8;26;Nível 2;100% PN;42,06% PN - 3,19% Total;2020;1988
LIGT;Light;Energia - Distribuição;1.2;15;Novo Mercado;100% ON;34,80% ON;2005;1999
ANIM;Anima;Educação;2;8;Novo Mercado;100% ON;58,60% ON;2013;2007
CVCB;CVC;Turismo;1.5;20;Novo Mercado;100% ON;74,83% ON;2013;2009
TGMA;Tegma;Logística e Rodoviário;3.5;13;Novo Mercado;100% ON;27,15% ON;2007;1998
PNVL;Grupo Panvel;Varejo - Farmacêutico;4.3;58;Novo Mercado;100% ON;47,39% ON;1977;1920
KEPL;Kepler;Máquinas e Equipamentos;4;53;Novo Mercado;100% ON;64,05% ON;1980;1936
LAVV;Lavvi;Construção;4.4;31;Novo Mercado;100% ON;21,94% ON;2020;2016
MLAS;Multilaser;Hardware;2;20;Novo Mercado;100% ON;23,81% ON;2021;1988
TASA;Taurus Armas;Armas e Munições;3.8;50;Nível 2;100% ON - 100% PN;14,25% ON - 77,70% PN - 54,43% Total;1982;1939
CSED;Cruzeiro do Sul Educacional;Educação;3.6;9;Novo Mercado;100% ON;12,39% ON;2021;1970
EVEN;Even;Construção;3;8;Novo Mercado;100% ON;37,48% ON;2007;1980
DESK;Desktop;Telecomunicações;3.2;10;Novo Mercado;100% ON;28,02% ON;2021;2006
BRIT;Brisanet;Telecomunicações;3.7;20;Novo Mercado;100% ON;20,51% ON;2021;2014
LAND;Terra Santa;Agronegócio;3.8;4;Novo Mercado;100% ON;23,43% ON;2021;2021
TEND;Tenda;Construção;1.3;11;Novo Mercado;100% ON;62,73% ON;2007;1993
EUCA;Eucatex;Madeira;2.7;11;Nível 1;80% ON - 0% PN;1,90% ON - 52,17% PN - 40,04% Total;1969;1951
PCAR;GPA;Varejo - Alimentício;2.4;17;Novo Mercado;100% ON;48,53% ON;1995;1981
PGMN;Pague Menos;Varejo - Farmacêutico;2.9;9;Novo Mercado;100% ON;15,51% ON;2011;1981
SCAR;São Carlos;Exploração de Imóveis;1.5;6;Novo Mercado;100% ON;21,17% ON;1991;1985
VLID;Valid;Documentos de Segurança;3.7;19;Novo Mercado;100% ON;58,34% ON;2006;1957
FIQE;Unifique;Telecomunicações;4.4;114;Novo Mercado;100% ON;24,96% ON;2021;1997
CEBR;Cia Energética de Brasília;Energia - Distribuição;3;6;Tradicional;80% ON - 0% PN;6,80% ON - 32,81% PN - 19,85% Total;1994;1968
VSTE;Veste;Vestuário - Geral;1.3;7;Novo Mercado;100% ON;10,13% ON;2008;1982
BRBI;BR Partners;Mercado Financeiro;3.7;14;Nível 2;100% ON - 100% PN;19,73% ON - 72,15% PN - 38,27% Total;2021;2009
SYNE;SYN;Shoppings;2;3;Novo Mercado;100% ON;28,89% ON;2007;2007
OFSA;Ouro Fino;Medicamentos;3.2;6;Novo Mercado;100% ON;13,94% ON;2014;2014
OPCT;Oceanpact;Ambiental;2.6;18;Novo Mercado;100% ON;38,84% ON;2021;2007
PINE;Banco Pine;Bancos;2.6;10;Nível 2;100% ON - 100% PN;0,15% ON - 49,80% PN - 24,75% Total;2007;1997
FRIO;Metalfrio;Máquinas e Equipamentos;1;8;Novo Mercado;100% ON;6,08% ON;2007;2001
POSI;Positivo;Hardware;3.6;13;Novo Mercado;100% ON;46,74% ON;2006;1989
LJQQ;Lojas Quero-Quero;Produtos para Construção Civil;2.8;30;Novo Mercado;100% ON;48,39% ON;2020;1967
BMOB;Bemobi;Programas e Serviços;3.3;23;Novo Mercado;100% ON;46,83% ON;2021;2007
DEXP;Dexxos;Químicos;3.5;13;Nível 1;100% ON - 100% PN;43,91% ON - 49,86% PN - 44,27% Total;1997;1997
ROMI;Indústrias Romi;Máquinas e Equipamentos;3.9;30;Novo Mercado;100% ON;53,54% ON;1938;1938
TELB;Telebrás;Telecomunicações;1;1;Tradicional;80% ON - 0% PN;6,27% ON - 10,92% PN - 7,26% Total;1981;1972
BRIV;Banco Alfa;Bancos;1;2;Tradicional;80% ON - 0% PN;7,71% ON - 27,53% PN - 15,57% Total;1977;1966
MDNE;Moura Dubeux;Construção;3.6;16;Novo Mercado;100% ON;39,63% ON;2007;1987
TRIS;Trisul;Construção;3;24;Novo Mercado;100% ON;38,51% ON;2007;2007
WIZC;Wiz;Seguros;3.4;30;Novo Mercado;100% ON;47,12% ON;2015;1973
VITT;Vittia;Fertilizantes;3.8;32;Novo Mercado;100% ON;30,51% ON;2021;1971
CRPG;Tronox;Químicos;2.7;7;Tradicional;80% ON - 0% PN;0,98% ON - 41,24% PN - 27,15% Total;1970;1966
ZAMP;Burger King;Restaurantes;1.9;21;Tradicional;100% ON;31,11% ON;2017;2011
PTBL;Portobello;Produtos para Construção Civil;3.5;21;Novo Mercado;100% ON;40,48% ON;1991;1977
ALPK;Estapar;Estacionamento;1.1;7;Novo Mercado;100% ON;17,26% ON;2020;1989
EMAE;Emae;Energia - Geração;2.2;6;Tradicional;80% ON - 0% PN;0,01% ON - 34,95% PN - 21,05% Total;1998;1997
BRGE;Alfa Consórcio;Seguros;1.5;2;Tradicional;80% ON - 0% PN;3,97% ON - 13,21% PN - 8,14% Total;1977;1952
MELK;Melnick;Construção;3.4;8;Novo Mercado;100% ON;22,05% ON;2020;2010
BIOM;Biomm;Medicamentos;1;2;Bovespa Mais;80% ON - 0% PN;23,92% ON;2002;2001
WLMM;WLM;Automotivo;2;3;Tradicional;80% ON - 0% PN;4,89% ON - 18,64% PN - 12,38% Total;1971;1946
SEER;SER Educacional;Educação;3.5;8;Novo Mercado;100% ON;22,27% ON;2013;2002
CSUD;CSU;Software;4.3;70;Novo Mercado;100% ON;35,74% ON;2006;1997
AALR;Alliança;Medicina Diagnóstica;1.5;6;Novo Mercado;100% ON;6,86% ON;2016;1992
APER;Alper Seguros;Seguros;2;1;Tradicional;100% ON;6,10% ON;2010;2010
CLSA;ClearSale;Segurança da Informação;1.7;14;Novo Mercado;100% ON;29,84% ON;2021;2000
AVLL;Alphaville Urbanismo;Construção;1;5;Novo Mercado;100% ON;3,19% ON;2020;2012
BHIA;Casas Bahia;Varejo - Geral;1.7;31;Novo Mercado;100% ON;74,83% ON;1981;1946
PEAB;Participações Aliança;Holding;0;0;Tradicional;80% ON - 0% PN;42,05% ON - 27,61% PN - 34,86% Total;2000;1997
LIPR;Eletropar;Holding;0;0;Tradicional;80% ON;16,29% ON;1996;1996
RPAD;Alfa Holdings;Holding;0;0;Tradicional;80% ON - 0% PN;4,04% ON - 13,87% PN - 8,53% Total;1977;1959
ALLD;Allied Tecnologia;Varejo - Geral;2.7;7;Novo Mercado;100% ON;16,94% ON;2020;2014
CRIV;Alfa Financeira;Financeira;1;1;Tradicional;80% ON - 0% PN;4,05% ON - 22,75% PN - 12,08% Total;1977;1954
QUAL;Qualicorp;Seguros;2.4;14;Novo Mercado;100% ON;51,61% ON;2011;2010
AERI;Aeris;Máquinas e Equipamentos;1.9;18;Novo Mercado;100% ON;18,86% ON;2020;2010
PFRM;Profarma;Varejo - Farmacêutico;3.2;10;Novo Mercado;100% ON;22,88% ON;2006;1961
KRSA;Kora Saúde;Serviços Hospitalares;2.5;2;Novo Mercado;100% ON;13,21% ON;2021;2011
PATI;Panatlântica;Siderurgia;0;0;Tradicional;80% ON - 0% PN;1,33% ON - 30,15% PN - 2,57% Total;1971;1967
CASH;Méliuz;Programas e Serviços;1.4;25;Novo Mercado;100% ON;75,83% ON;2020;2011
IFCM;Infracommerce;Serviços Diversos;1.6;15;Novo Mercado;100% ON;73,36% ON;2021;2020
HBRE;HBR Realty;Construção;3;1;Novo Mercado;100% ON;47,27% ON;2020;2011
MEAL;International Meal;Restaurantes;3;9;Novo Mercado;100% ON;54,12% ON;2015;1965
GFSA;Gafisa;Construção;1.5;10;Novo Mercado;100% ON;49,85% ON;1997;1996
MTSA;Metisa;Máquinas e Equipamentos;2.8;5;Tradicional;80% ON - 0% PN;5,23% ON - 47,87% PN - 27,43% Total;1971;1942
CGRA;Grazziotin;Vestuário - Geral;3.3;17;Tradicional;100% ON - 100% PN;24,76% ON - 57,06% PN - 43,63% Total;1979;1950
MTRE;Mitre Realty;Construção;3.4;19;Novo Mercado;100% ON;54,19% ON;2020;2005
PRNR;Priner;Serviços Diversos;3.3;16;Novo Mercado;100% ON;51,43% ON;2017;2013
AMER;Americanas;Varejo - Geral;1.1;32;Novo Mercado;100% ON;69,88% ON;2007;2006
PTNT;Pettenati;Têxtil;2.5;2;Tradicional;80% ON - 80% PN;2,40% ON - 52,23% PN - 35,62% Total;1981;1964
